Benchmark,Method,TN,FP,FN,TP,Balanced Accuracy,Precision,Recall,Specificity,F1,Test Samples
1,bce,3186,1493,4,222,0.8316078051622103,0.1294460641399417,0.9823008849557522,0.6809147253686685,0.2287480680061824,4905
1,focal,3675,1004,9,217,0.8728006135491473,0.17772317772317772,0.9601769911504425,0.7854242359478522,0.29993089149965446,4905
2,bce,40740,558,4,494,0.9892281606449043,0.4695817490494297,0.9919678714859438,0.9864884498038646,0.6374193548387097,41796
2,focal,41017,281,15,483,0.9815376572394474,0.6321989528795812,0.9698795180722891,0.9931957964066056,0.7654516640253566,41796
3,bce,44486,1847,47,1761,0.9670704143188908,0.4880820399113082,0.974004424778761,0.9601364038590205,0.6502954209748892,48141
3,focal,45136,1197,58,1750,0.9710428178734589,0.5938242280285035,0.9679203539823009,0.974165281764617,0.7360672975814931,48141
4,bce,31686,204,104,73,0.7030161944395725,0.26353790613718414,0.4124293785310734,0.9936030103480715,0.32158590308370044,32067
4,focal,31155,735,9,168,0.9630522824752459,0.18604651162790697,0.9491525423728814,0.9769520225776105,0.3111111111111111,32067
4,ohem,31660,230,67,110,0.8071283171495236,0.3235294117647059,0.6214689265536724,0.9927877077453747,0.4255319148936171,32067
4,focal_ohem,31366,524,17,160,0.943761659518153,0.23391812865497075,0.903954802259887,0.983568516776419,0.37166085946573746,32067
5,bce,6204,13123,1,40,0.6483057317767258,0.003038820937476259,0.975609756097561,0.32100170745589074,0.006058770069675856,19368
5,focal,14478,4849,1,40,0.8623586111682506,0.008181632235631009,0.975609756097561,0.7491074662389403,0.016227180527383367,19368
5,ohem,19279,48,29,12,0.6450996773122902,0.2,0.2926829268292683,0.9975164277953122,0.2376237623762376,19368
5,focal_ohem,16063,3264,1,40,0.9033634230893972,0.012106537530266344,0.975609756097561,0.8311170900812335,0.02391629297458894,19368
