Benchmark,Method,TN,FP,FN,TP,Balanced Accuracy,Precision,Recall,Specificity,F1,Test Samples
1,bce,3186,1493,4,222,83.16078051622104,12.944606413994169,98.23008849557522,68.09147253686685,22.874806800618238,4905
1,focal,3675,1004,9,217,87.28006135491472,17.772317772317773,96.01769911504425,78.54242359478522,29.993089149965446,4905
2,bce,40740,558,4,494,98.92281606449043,46.958174904942965,99.19678714859438,98.64884498038646,63.74193548387097,41796
2,focal,41017,281,15,483,98.15376572394474,63.21989528795812,96.98795180722891,99.31957964066056,76.54516640253566,41796
3,bce,44486,1847,47,1761,96.70704143188908,48.808203991130824,97.4004424778761,96.01364038590205,65.02954209748893,48141
3,focal,45136,1197,58,1750,97.1042817873459,59.38242280285036,96.7920353982301,97.4165281764617,73.60672975814931,48141
4,bce,31686,204,104,73,70.30161944395725,26.353790613718413,41.24293785310734,99.36030103480715,32.158590308370044,32067
4,focal,31155,735,9,168,96.30522824752458,18.6046511627907,94.91525423728814,97.69520225776105,31.11111111111111,32067
4,ohem,31660,230,67,110,80.71283171495236,32.35294117647059,62.14689265536724,99.27877077453748,42.55319148936171,32067
4,focal_ohem,31366,524,17,160,94.37616595181531,23.391812865497073,90.3954802259887,98.3568516776419,37.166085946573745,32067
5,bce,6204,13123,1,40,64.83057317767258,0.3038820937476259,97.5609756097561,32.100170745589075,0.6058770069675856,19368
5,focal,14478,4849,1,40,86.23586111682506,0.8181632235631009,97.5609756097561,74.91074662389403,1.6227180527383367,19368
5,ohem,19279,48,29,12,64.50996773122903,20.0,29.268292682926827,99.75164277953122,23.762376237623762,19368
5,focal_ohem,16063,3264,1,40,90.33634230893972,1.2106537530266344,97.5609756097561,83.11170900812334,2.391629297458894,19368
